user_id	user_name	follower	following	tweet	date
jun9un_everyday	じゅんたろう	135	322	記者会見見てるとイライラするから見るの辞めた  2段階認証なんてあって当たり前なのにされてないし IDとパスワードだけで使えちゃうシステムって今時ポンコツ過ぎるだろ #７Pay #不正利用	2019-07-04 13:37:05
matomedane	まとめダネ！	1479	658	【逮捕】7payでさっそく逮捕者 他人の7payを使おうとした中国人を詐欺未遂で逮捕 #逮捕 #7pay https://t.co/D8ftcSvAi7	2019-07-04 13:37:01
id738315	id738315	3	0	中国籍の男2人逮捕、セブンペイで詐欺未遂容疑【日本経済新聞】#7Pay #セブンペイ https://t.co/sfGyPqDvD3	2019-07-04 13:36:35
cashless_gogo	まっくん@キャッシュレスマン	96	219	7payの件、突貫工事だとか言われてますが、ベンダー各社へ提案依頼書が出てきたのは、ちょうど2年前ぐらいだったと思う。  #7pay #セブンペイ	2019-07-04 13:36:27
simple_kakei	🐥えまの家計簿 書籍発売中🐥ご購入ありがとうございます	275	24	#7pay #セブンペイ セブイレにちらしがあったから、試しにやってみようかと悩んでいた矢先… スマホ決済促進のために、何%還元とかやってるけど、結局買わないと還元もない。還元のために買うのも本末転倒。いまだ現金握りしめて買い物に行く私。これが一番コントロールできる。 #えまの家計簿	2019-07-04 13:36:24
zanmy_com	Jin	69	136	さあ高らかに叫ぼう皆で #7pay と!!!	2019-07-04 13:36:20
arakawakohsen_B	荒川光線（B面）＠だいたい煩悩話の方	863	1537	というより、7Payの開発現場は、デスマにデスマを重ねた、突貫工事という気がするな。 #7Pay	2019-07-04 13:35:56
macfreesoftjp	平凡な労働者の一人™	3790	3303	悲報です！  「７ｐａｙ」 中国人逮捕 商品20万円分だまし取ろうとしたか  #7pay  https://t.co/wPAaJoUDmH	2019-07-04 13:35:52
Malraux_jp	日本のマルロゥ	769	1150	#7pay が #滅殺開墾ビーム されてるのか	2019-07-04 13:35:04
kazuoLv1	ぺこぺこ@家事レベル5	4189	3607	7payの対応で色々と燃え上がってますね  記者会見に経営責任者として社長が出るのは良いけど、システム畑の出身ではないみたいだし 製品仕様の詳細については7payプロダクトオーナーが出てきて回答するべきだったね  別に擁護するつもり無いけどね (´･ω･`) #7pay	2019-07-04 13:34:39
hajimocchi	もっちー@がんばらない	35	41	と思ったけど、きっと下から報告があっても、上で握り潰したんだろうな。 #7pay	2019-07-04 13:34:30
gugupeco999	ぐーぐーぺこりんこ@食べるの専門㌠	645	754	#7Pay チャージ出来なくなり、新規受付中止になるとのこと。再開されるのは先だろうなー。  期待していた分、非常に残念😩  https://t.co/e972JLc7Fg	2019-07-04 13:33:59
gga00463	gga00463	24	348	#7pay キャパシティプランニング以前の問題だったとは、予想外過ぎる (^^;	2019-07-04 13:33:56
inolabo	猪田(小売希望価格55,650円)	303	760	#7pay は、ID の仕組みは既存のありもんを使うから、繋がるような構成にすれば良い、という要件で進めたんだろうな。 だから、ID 部分はセキュリティの確認の対象じゃなかったとかそんな感じだろう。	2019-07-04 13:33:33
hajimocchi	もっちー@がんばらない	35	41	#7pay のパスワード再設定できるセキュリティホール、ネタかと思ったらマジなのか( ;´･ω･`) どんだけITリテラシーのない連中ばかりなのか。	2019-07-04 13:33:27
jsuzu	SUZUKI, Junichi(もうがんばらない）	174	395	さて、例の #7pay 騒動ですが。開発者の末端は何次受けでしょう。	2019-07-04 13:33:24
kazumone	か～ねる(負けないための生活)	670	559	犯人の目星がついてて自分が泥を被ることで本体への影響を減らすとしたら社長としての責務は取ってるのか #7Pay	2019-07-04 13:33:17
smart_nagomi	Nagonago	1005	693	#7pay  「2段階認証??」  https://t.co/hd2AXwybPY	2019-07-04 13:32:50
MinakoTYO	空飛ぶ弁護士✈品川の獅子党	4182	3837	後発の 7payが、PayPayも楽天PayもLINEPayもぜーんぶ一気に潰しにかかっていく戦略は流石である…。  #7pay #最後にはnanacoに人が集まる仕組み	2019-07-04 13:32:42
macfreesoftjp	平凡な労働者の一人™	3790	3303	#7pay のシステム、「どこのSEがやってるの？」って質問やけど  仮に大手通信系SIer、大手電機系SIer、大手シンクタンク系SIerが受注していたとしても、末端で作業しているのは、個人事業主や零細企業の社員、外国人労働者やで・・・  そんなの常識やろが！	2019-07-04 13:32:28
shjngo0101	s.shjngo0101	0	7	しかしさ、7payでまたやらかしてくれたけど金絡みの犯罪になると中国人多いね！ 爆買いとかいうけど中国人は金が無い奴が多いんだなぁ(爆)  こんな事やってるから日本で中国人の信頼度が無いんだよ！地位も低いんだよ！ モラルもないし、コンプライアンスて言葉知ってるのか？(笑) #中国人 #7pay	2019-07-04 13:32:19
Argenpon	アルヘンポン	13	52	#7pay が凄いことになってるけど、中国のQRコード決済は、身分証明書番号、銀行口座番号（クレカ利用は少ない）、電話番号はマスト。もはや中国ではQRコード決済無しの生活は考えられないが、セキュリティに敏感な人は少額しか置かない口座を決済に使う。少数ながら頑なに現金主義の人もいる。	2019-07-04 13:32:18
haruzi313	はるじぃ	20	267	#７ｐａｙ 全く内容知らないまま、事故って使えない子に... 県外ではセブンイレブンよく行ってたのに、来松以降なんか刺さんない。切手買う所になってるｗ #ｄ払い の消化先が決まってしまった、茄子がお亡くなりになられた。昨日 突然体調崩して... SMB1.0が、また無効化されただけかと思ってたのに	2019-07-04 13:32:11
proto_jp	proto.jp	1492	529	なぜ日本からGoogleやAppleが生まれないのか？お分かりいただけただろうか  #セブンペイ  #7pay	2019-07-04 13:32:10
tsuki2makeinu	1118081105311108	21	27	はい、事故。 スマホ決済最初必ず事故る説。 #7pay  #インタビュー #インタビューで多重事故   https://t.co/zS1vRtqDq2	2019-07-04 13:31:22
realbeny	紅芋次郎（蝉太郎）	57	76	以前suicaを紛失した時、記名式で番号もわかるので（他人に使われてないか確かめるため）履歴を照会しようとしたけど、本人確認できても現物を持ってなければ照会できなかった。 システム的には可能なはずなので、利便性よりセキュリティ最優先で認めないのだろう。 #7pay	2019-07-04 13:30:41
evizo_	ボンゴレロッソ	599	682	設立からずっと、触るものすべてを糞に変えて社会の進歩を停滞させてしまう会社 携わった技術者は糞化してることに気づかないほど糞化している #7pay  #託宣	2019-07-04 13:30:01
simple_kakei	🐥えまの家計簿 書籍発売中🐥ご購入ありがとうございます	275	24	#7pay 怖すぎる。。。。 しばらく安定するまでは、 現金派ですかねー。。	2019-07-04 13:29:58
macfreesoftjp	平凡な労働者の一人™	3790	3303	そういや、#7pay じゃないけど、マイナンバーが、脆弱性の高いJavaフレームワークで構築されたシステムで管理されてたら、最悪だよね。。。  識者の方詳しく。。。	2019-07-04 13:28:21
bon_take	ぼんたけ	555	481	えええ #7pay 決済がまだできると... あほなのか？ どこがSEやってるの？  #ss954	2019-07-04 13:28:02
IharaProduct	ihara@個人開発者	207	275	これでライバルが1人消えたってことだ。 #7pay	2019-07-04 13:27:54
syatyousannpuro	るるか	1668	1184	【7pay】セブンペイの不正利用/緊急記者会見+危険なパスワード変更の脆弱性 https://t.co/gs1G2YKHaO  #セブンペイ #7pay #不正アクセス #YouTube #キャッシュレス	2019-07-04 13:27:52
heaven_x_	虚構と現実	407	38	iPhone勢(コミュ障)からしたら 店員さんに話しかける事なく 携帯操作だけでnanacoポイントを 残高チャージできるのよかったのに (Androidだけしか出来なかった) 全てのチャージサービス停止かぁ… #7pay	2019-07-04 13:27:46
fuzz_chimera	ぽん	27	79	そもそも初回の登録でおにぎり最大2個無料ってPayPayとLINE Payに比べたら安くないか？  俺がケチすぎるのか？ ＃7PAY	2019-07-04 13:27:40
maronkouhou	栗本 拓幸 / Hiroyuki Kurimoto	838	426	ちなみに #おっさんチャンネル の「 #キャッシュレス 」動画、#7Pay 騒動もあり、プチバズり中笑  https://t.co/mvfmNyL3eo	2019-07-04 13:27:23
69xxxryo	69xxxryo	291	668	サービスインから速攻でかましたとこは感心したけど捕まるのも早くて足付いた理由も雑で結局やった側もやられた側もお粗末過ぎて世界に顔向けできない #7pay	2019-07-04 13:27:16
OsakaMunicipal2	桜ノ宮 雪松³²³	475	431	#7pay 、初っ端からずっこけとるやん......(絶望) これじゃあ現金とかデビカとかそういう手元にあるものしか信用効かんやんね	2019-07-04 13:27:08
9Aglu	(๑´•.̫ • `๑)	58	87	みんなで頑張ってやろうと思って…  結局ダメでした(๑•́ω•̀๑)  #7pay https://t.co/atg5Ju24se	2019-07-04 13:26:56
udp_qbu	消える毛根🌈	24	126	display: none で対策したつもりになってるのには吹いたｗ #7pay	2019-07-04 13:26:46
arataro4	arataro😎VR	120	492	7payの特典オニギリに釣られずにnanacoを使い続ける私は勝ち組(違ぅ  #7pay	2019-07-04 13:26:27
mi3papa	mi3papa	735	187	酷い会見やな。ささやき女将みたいなのが横についててもアカンやろけど…これはIT業界の縮図じゃないことを祈るよ。  #7pay	2019-07-04 13:25:49
guest4google	山菜三昧	0	3	7PAYの記者会見を見た(6)  【下記は予測】 ①7PAY提供前から、セブンID・PWが流出。 ②上記①の時点では他人が利用できる出口が存在しなかった。   (nanacoカード等の物理媒体が必要等) ③7PAYの提供開始 ④上記①の情報と7PAYを利用して不正利用を実施  #7PAY #セブンペイ #不正利用	2019-07-04 13:25:38
manicafe	まに	637	466	私は昔から現金での買い物や小銭のやり取りが煩わしくて嫌いでキャッシュレス決済の普及を本当に嬉しく思っていたので、#7pay の件ででこの流れが停滞するようなことがあったら一生恨むから。	2019-07-04 13:25:32
yoshihide_ban	yban	94	179	セブンイレブン オムニ７ のように全 老若男女を対象にしたシステムは、  「登録したメールもパスワード分からない」という場合 別メールでＰＷリセットできる機能を付けたのだと思うけど  さすがに システムとして成立しないよな。 ユーザのレベルが低すぎてシステム化のハードルが高い要件か #7pay	2019-07-04 13:24:52
guest4google	山菜三昧	0	3	7PAYの記者会見を見た(5)  注意喚起   ①クレジットの不正利用にかかる利息額に関しても損害に含めるべきなのでこの辺を無視されないように。   ②情報のみの流出は現在でも止められていない模様    #7PAY #セブンペイ #不正利用	2019-07-04 13:24:35
macfreesoftjp	平凡な労働者の一人™	3790	3303	#7pay #Struts1 これな！  サポート切れ企業に脅威、システム構築ソフト「ストラッツ１」、自社対策へ。 https://t.co/umambjSDe7	2019-07-04 13:24:34
kuroonpu_punpun	くろおんぷでぷんぷん	4	1	セブンペイ不正利用に関与か、詐欺未遂容疑で男逮捕：日本経済新聞 https://t.co/ULAjYPl41O  まあ、#PayPay があれだけやらかした後に、今の状態で Go を出した #7pay は情けないと言われてもしょうがないな。システムの作りが甘いのはイトーヨーカドーの頃からの伝統だ。	2019-07-04 13:24:30
bon_take	ぼんたけ	555	481	あらあら。中国の組織が絡んでいるなら なおさら 被害額が数千万円というのは信じ難し。 #7Pay  #ss954  「７ｐａｙ」 中国人逮捕 商品20万円分だまし取ろうとしたか | NHKニュース   https://t.co/mMJ3oN44k6	2019-07-04 13:24:25
guest4google	山菜三昧	0	3	7PAYの記者会見を見た(4)  感想 ①NHKの記者が……   元の発表も他の記者の話も聞いていないのか理解していないように感じる。 ②セキュリティ関係の代表者居ないのは悪手。 ③記者の声が聞こえづらい ④記者のほうにもセキュリティ関係の専門が居なさそう。  #7PAY #セブンペイ #不正利用	2019-07-04 13:24:23
tontokaimo	おんちゃん	323	462	7payの騒動でハッキリしたのは、会見をした社長自身がセキュリティと言うモノを全く理解してないこと、利便性と安全性とが何によって担保されているさえも理解していなかったことが露呈した。自分が常用する電子決済の候補から7payは完全に除外された。信用できないからだ。#7pay	2019-07-04 13:24:09
Berrette_sunsun	バレッタさん@ゲーム実況(予定)・ゲーム用垢	96	119	ナギさんに見せてもらった7payの問い合わせページだけど、下の注釈の二つ目、消費者センターに電話したら間違いなく引っかかる文言だと思ってきた。 これ本気で弁護士入れてやってる？この感覚でセブン本部はずっと現代の奴隷制度運用してたんだ…はぁ(´・ω・｀) #7payswar #7pay https://t.co/56dZbR2n00	2019-07-04 13:24:00
RinD_Rakugosya	ゆめのうつつ	46	65	問題のパスワードリセット画面は #7pay 以前からあったのか。根深いなぁ…。問題指摘後もCSSで表面的にだけ対応したってのも、危機管理的に最悪な対応だな…。  https://t.co/wlwFmxQQln	2019-07-04 13:23:46
penguin_dane	ペンギンだね。	127	314	ずっと夢をみて♪安心してた♪僕は♪ 安心してた？！ だね。#7pay #ss954	2019-07-04 13:23:35
Ono_Katsuhiko	小野勝彦	61	149	７月１日登録、２日クレカ登録＆3000円チャージで、今のところ問題なし。明日、試しに支払いしてみよう。 #7pay https://t.co/Q4gqXScNWF https://t.co/F2CnUkeh15	2019-07-04 13:23:32
guest4google	山菜三昧	0	3	7PAYの記者会見を見た(3)      不正なIPは中国のもの   ＞踏み台や偽装もあるのでこれはなんともいえないが。      1アカウントで1日にチャージ可能な金額は   ・10万x3回で30万    #7PAY #セブンペイ #不正利用	2019-07-04 13:23:28
guest4google	山菜三昧	0	3	7PAYの記者会見を見た(2)    7/2(夜)   ユーザからの連絡により不正利用の発覚   7/3(早朝) 調査開始   7/3 10:30 クレジット・デビットカード入金の停止   7/5(未明) 新規登録の停止    #7PAY #セブンペイ #不正利用	2019-07-04 13:23:18
guest4google	山菜三昧	0	3	7PAYの記者会見を見た(1)      7PAYのユーザアカウント・パスワードの流出による不正利用。      被害内容：900アカウント／5,500万円   ※1万円以上のチャージ及び同日に同額の利用があった先(試算)  テレ東NEWS https://t.co/M7Jh97epaB #7PAY #セブンペイ #不正利用	2019-07-04 13:23:07
kogamin	あきら	10	25	ペイの最終問題で草 #7pay #無限おにぎり #風来のシレン #フェイの最終問題	2019-07-04 13:22:55
cardmics	クレジットカードの読みもの	23817	32	ほんと7payのザル仕様は、意思決定権のある上の方の人たちが自分たちの保身を優先した結果なのかもですね。  今日の記者会見で7payの社長が二段階承認を知らないのを見て、そう思いました。 #セブンペイ #7pay https://t.co/Ifbp5M758W	2019-07-04 13:22:36
JPpWPEZtpr4ZekU	白紙のゴドー	46	94	@HiromitsuTakagi @takashikiso 「ガス漏れしたのに火を使うのやめないの？」 「まずできることとして元栓しめた」 「まだ漏れてるんじゃ？」 「漏れてるとは思わない」  いやいや、元栓締めても漏れたガスまだ残ってるよ。しかもちゃんと締めてないのに… #7pay	2019-07-04 13:22:35
halu834	halu@BELIEVER. → NEXTさいたま	1060	867	#7pay の件をきっかけに、IT業界の闇が一斉に吹き出してくるんじゃないかな。。。。	2019-07-04 13:21:47
tt_highbridge	とと	24	144	この前知り合った子が某金融機関から7payに出向していて、リリース前でめちゃくちゃ忙しく、人として終わってる生活送ってると嘆いてたのに、こんなことになって本当に同情しかない。#7pay	2019-07-04 13:21:47
pokkuripon	チャタロペス	29	75	修正の能力というより 当事者能力がない感じなんだな omni7系の一連のサービスは POSがシステム運用能力の限界って感じ #7pay	2019-07-04 13:21:03
keikooom	おいおいおー	1	16	せっかく一番ナイスなコンビニと思ってたのに、アホみたいなセキュリティホールで、ちょっとなんか、、#7pay	2019-07-04 13:20:03
_tanayuk	Yuki Tanaka	186	627	みんな #7pay の脆弱性について、二段階認証がー、とかシステム脆弱すぎーって言ってますが、じゃあクレジットカード皆さん使ってないんですか？二段階も何も決済に必要な情報が小さいカードに全て記載されてるんですよ？事故ったのはセブンのシステム設計ミスですが身近なリスクを忘れがち	2019-07-04 13:19:28
d_sea	Hiro Fukami 深海寛信	589	557	あらゆる場面にWebが入ってきてソフトウエアの経営インパクトは相当でかいのに認識できていないの本当にダメ。海外とは10年以上差がついてしまっていると思っている。ダメな寄せ集めSIerでなく優秀なソフトウェアエンジニアが早く最強になれますように #7pay	2019-07-04 13:19:12
nickcostt	itomasa	26	67	サービス止めないと保険おりないとか、内部判断に影響力ある外圧が無いと判断できんだろうな。ここまでくると。#7pay	2019-07-04 13:18:53
kogamin	あきら	10	25	まさか風来のシレンでおなじみのオニギライズ（おにぎり生成）が現実でもできるとは・・・！ #7pay #無限おにぎり まぁ100円やそこらのおにぎりで捕まるのもアホらしいし実際にはやらんけど（インスコすらしてない）	2019-07-04 13:18:41
huhka_com	ふーか	1407	542	受け子を逮捕したそうな。  他人のセブンペイを使って、セブンイレブン店舗から数十万円分の商品をだまし取ろうとしたとして、警視庁が職業不詳の20代の男を詐欺未遂容疑で逮捕したことが4日、分かった。  セブンペイ不正利用に関与か、詐欺未遂容疑で男逮捕 https://t.co/2Vd7CsLbkS  #7pay	2019-07-04 13:18:35
lovelovefirefox	メビ	108	118	色々あったじゃん。 仮想通貨盗難とか、PayPay絡みの不正利用とか色々あったじゃん。 学習とリスク予測しようよ、ユーザー側も企業側も。 #7pay https://t.co/ys8yxkHwJS	2019-07-04 13:17:40
MaihaiStyle	マイハイ	575	382	割と真面目に、セブンはGDPR対応どうするんだろ。 #7pay	2019-07-04 13:17:03
VRRsgdtnquoSv3f	まっすぐ@目的地周辺	26	136	裏垢界隈のTLだと、あまり話題になってないけど、みんな気をつけましょうね  #7pay #7pay不正利用   https://t.co/ljPcCvpmht	2019-07-04 13:16:16
beitiao	Hojo Mitsuhiko - 北條	31	28	CRM戦略に基づき新会社を設立（2018年6月） #7Pay  https://t.co/aaHlOmdECu	2019-07-04 13:15:58
kumack55	くま ก็็็็็็็็็็็็็ʕ•͡ᴥ•ʔ ก้้้้้้้้้้้ 55	158	403	二段階認証を知らなかったのではなく、そんな古い言い方は最初から眼中になく、「多要素認証」なら知ってた、説。（ない #7pay	2019-07-04 13:15:06
quarterX4	Quarter🐬@艦これ資材再備蓄中…	1172	2712	7pay、結局再開できずに廃止になりそう。 #7pay #セブンペイ	2019-07-04 13:14:40
catnap707	ねこさん⚡🔜Ͷow or Ͷever🔙(ΦωΦ)	1402	1029	ちなみに、#7pay のアプリは、QRコードの画面もチャージや残高の画面のスクショ撮れちゃいます。 #ファミペイ では、スクリーンショットが撮れないように制限されていて、ちゃんとしてるなーと。 https://t.co/DXj5VjYqug	2019-07-04 13:14:40
iraiza55	いらいざ	51	143	#7pay セブンにトラブルが起こると、 つい、「あー。鈴木さんがいたら違ったのかな？」と思ってしまう。 #セブンペイ #セブンイレブン	2019-07-04 13:14:31
sinhinodenokuni	日出づる国の民 令和太郎	463	888	#7pay に関しては、徹底的に抗議しないと新しい金融のイメージが崩れるし、なんかあの社長、客に迷惑かけてるのに完全に他人事のように会見してるし、、、あの人を社長にしたセブン本体にも超問題ある。	2019-07-04 13:14:28
penguin_dane	ペンギンだね。	127	314	ガラケーユーザーのペンギンだね。は、今回の #7pay の騒動には無縁だったわけでだね。オムニ7も「必要以上に通販サイトを登録しない」主義だったから、だね。	2019-07-04 13:13:56
fou3voufsl40d	画伯	7	6	セブンペイの社長に勇気をもらった。あの程度のセキュリティの知識と技術で良いならセブンペイの社長として自薦する。説明聞いてあまりにも無知なのが良く分かる。素人集団だ。任せてられない。 #7pay #セブンペイ	2019-07-04 13:13:51
yamamo	やまも	505	590	#7pay のおかげで工数を稼げる開発プロジェクトもあるんだろうな	2019-07-04 13:13:08
takahashi_kenta	徳本貴紀	116	201	そもそもセブンでしか使えない上に、クレジット払いすら対応してない7payに使うメリットが全くないけどな。 #7pay	2019-07-04 13:13:08
fk1_jp	fk1	12	62	2段階認証知ってるんで、セブンイレブンの役員にしてください（白目） #7Pay	2019-07-04 13:13:00
ooblog	九堂フレア	858	1544	#7pay 「「二段階認証……？」と戸惑う様子を見せた~「SMSってTwitterのことですよね」と発言したとする根拠は不明~最後まで中継した動画を確認しても、そうした発言はみられません」 / “「SMSってTwitterのことですよね」　セブン・ペイ記者会見で「社長が勘違い発言した…” https://t.co/VEdkf34VqK	2019-07-04 13:12:33
art_gallery_ame	がろう	57	56	2段階認証使わないでクレカと紐付けって使用者側の危機感も足りんよね まぁそれを補うのが提供する側の技術職の仕事なんだけどね！！！#7pay	2019-07-04 13:12:18
RyoTa63292153	RyoTa	199	639	61件のコメント https://t.co/O7cHX18gZH “7payの小林強社長、自身の脆弱性（小林弱）を露呈 : 市況かぶ全力２階建” (216 users) https://t.co/a2VKimc5wC #7pay	2019-07-04 13:12:00
seritomokun2007	セリトモくん@雅姫	10	28	セブンペイの件、本当に嬉しそうに語るネットにも軽く引いている。おまけにデマも拡散してる。 セブンという強きをけなして、庶民の嫉妬心がやわらぐ。匿名性が歯止めをなくす。   #7pay	2019-07-04 13:11:54
yamamo	やまも	505	590	#7pay のせいで余計な仕事が増えた開発プロジェクトはいっぱいあるんだろうな	2019-07-04 13:11:39
ikemen_js	display:none	157	248	7DTDプレイヤーだった身としてはこれを機にみんなスチームでゲームするといいなと思ってます #7pay	2019-07-04 13:11:39
potapenko2000	ぽたぺんこ	155	313	今日まで #7pay はFeliCaだと思ってた	2019-07-04 13:11:11
VnNatsumi	はち蜜♡	46	86	セブンイレブンヘビーユーザーの私は当然、ソッコーで7payを登録し使用し始めましたが、クレカ登録はちょっと怖くてしませんでした。今回の報道は残念ですが、7payとても便利です🌸 nanacoも使っていますが、一々お財布から出す手間が7payにはない♡そして特典が多い♪頑張れセブン！#7Pay	2019-07-04 13:10:56
CryptoKaiketsuZ	快傑Z	4942	667	#7pay サービス開始までの真実  セブンイレブン上層部｢社名がセブンイレブンだから7月1日にサービス開始だ！｣  開発責任者｢でしたら7月11日スタートがよいかと・・｣  セブンイレブン上層部｢駄目だ7月1日でやれ｣  開発責任者｢この恨み、どう晴らしてくれようか😠｣  7pay不正利用発覚❗	2019-07-04 13:10:46
BourbonSuits	死枕千代子	56	180	７payの多額不正利用、Paypayの時とほぼ同じ手口じゃねえのか!?　運営会社の奴らバカかよ!!( ｀д´)　#７pay	2019-07-04 13:10:44
aka_murasaki	赤紫	250	292	7月1日にスタートした7payだが、7day持たなかったな。  #7pay ⇨ セブン&amp;アイ独自の‟バーコード決済“サービス『７pay（セブンペイ）』登場―2019年7月よりサービスを開始―｜セブン‐イレブン～近くて便利～ https://t.co/I4AHeqlUuK	2019-07-04 13:10:41
honeytann	Honey	244	388	POSAはPOSを通した時点で使用可能になるように個別の識別番号読み込んでるんじゃなかったっけ(薄い記憶)やられた店舗わかってるなら記録追って使用不可とか使用者特定出来ないのかなと思うけどもう遅いか(時間との戦い) #7pay	2019-07-04 13:10:32
